Renew,Brand Loyalty,Location Code,Years after high school graduation,Gender,Marital Status,Education Level,Monthly Income,City,Years subscribed,Active online hours
No,0.2350016694623629,Suburban,,F,Married,Graduate School,4506.888567042465,London,4.0,7.884530761237881
No,-0.256315446780502,Rural,31.0,M,Single,College,3570.143483271111,Manchester,3.0,4.087183860588499
Yes,0.32084370608951773,Urban,40.0,M,Divorced,College,5838.56809500268,Manchester,4.0,5.033104466987786
Yes,-0.4105406433798761,Urban,38.0,F,Divorced,High School,4223.537170130097,New Castle,5.0,4.662520266134193
No,0.30931796029686176,Rural,28.0,M,Married,Graduate School,2408.3245566532632,London,4.0,3.7239255293764755
Yes,-0.6597751507120774,Urban,30.0,M,Divorced,College,5932.665657504346,Manchester,,6.775376223405404
,-0.1947731119190671,Suburban,35.0,M,Married,College,3558.4824449384564,Manchester,2.0,6.494776276504554
Yes,-0.10063011020782647,Urban,25.0,M,Divorced,College,4459.62690111189,London,6.0,7.106849180844746
No,0.7115694482127767,Rural,42.0,F,Married,High School,3923.3710017994144,Manchester,4.0,3.995925991838992
Yes,0.012523931780027003,Urban,41.0,M,Single,Graduate School,3247.3534786883047,London,7.0,5.446841427359501
Yes,-0.5085435694472742,Urban,29.0,F,Divorced,College,3592.7266185589224,Manchester,3.0,5.461697414282279
Yes,0.14285528352043514,Suburban,39.0,F,Divorced,Graduate School,3177.9361524386395,Manchester,6.0,8.228559142570418
Yes,-0.030010553452204186,Urban,33.0,F,Divorced,College,4165.155995488956,New Castle,4.0,4.943657579161867
No,0.3676137084721396,Rural,22.0,M,Single,Graduate School,2292.0660901881124,New Castle,5.0,6.294530499144945
Yes,1.4999999999999998,Urban,52.0,M,Divorced,Graduate School,5376.914808399438,London,4.0,6.822351617957
Yes,0.3015492268722219,Urban,34.0,M,Divorced,Graduate School,3323.171075336257,Manchester,4.0,4.511188462662067
Yes,1.0669361965319006,Urban,51.0,M,Single,High School,4025.8745887073705,New Castle,1.0,6.927134093045382
,0.3562179164391081,Urban,44.0,M,Divorced,Graduate School,4257.847703228847,Manchester,5.0,5.106678599374902
Yes,-0.02812221785638272,Suburban,29.0,F,Divorced,College,4177.0518033326925,New Castle,4.0,5.723385428981216
Yes,-0.17482874604317677,Suburban,40.0,F,Married,Graduate School,4480.029939281949,Manchester,6.0,5.568660493843115
Yes,0.36299108695670906,Suburban,33.0,M,Divorced,High School,4802.990956969403,Manchester,4.0,4.882903068467609
Yes,0.09748141397770346,Suburban,51.0,F,Single,College,2978.4206284466663,New Castle,2.0,
Yes,0.559604426329406,Urban,44.0,F,Single,Graduate School,5918.253217663211,New Castle,3.0,7.584026588078283
Yes,0.37017480788389034,Suburban,40.0,M,Divorced,High School,3013.1858490615787,New Castle,4.0,7.874245298779067
No,0.23075132353066513,Rural,28.0,F,Divorced,High School,3789.9170698895996,New Castle,5.0,5.083992436238328
Yes,0.018335313736324854,Rural,41.0,F,Married,High School,5599.118327770925,New Castle,4.0,5.732364992171831
Yes,0.09012319809814862,Suburban,41.0,F,Single,,3982.071025361371,Manchester,3.0,4.874174207400425
Yes,-0.6479150162272983,Urban,30.0,F,Divorced,Graduate School,4794.668989248566,New Castle,7.0,4.090035730915502
Yes,0.26620888400135256,Urban,26.0,M,Single,,2979.9868870308737,New Castle,5.0,6.75759800035085
No,0.5559552223305363,Urban,41.0,M,Divorced,College,4656.345015961524,London,4.0,8.136369446471484
Yes,-0.9624497675892398,Suburban,23.0,M,Single,Graduate School,,Manchester,4.0,5.936387449388077
Yes,-0.34450109151968994,Urban,50.0,M,Single,High School,5018.2798852760025,New Castle,3.0,4.814506863521154
No,-0.0806331039595497,Rural,24.0,M,Married,High School,5902.836983818679,Manchester,3.0,3.9398417644874666
Yes,0.06457889529860239,Suburban,38.0,F,Divorced,Graduate School,5075.740094156554,London,4.0,5.1752815971023605
No,0.953394866994262,Rural,31.0,M,Divorced,High School,2576.5360583460792,Manchester,3.0,5.698855582510427
Yes,-0.2788810040390868,Suburban,40.0,M,Divorced,College,4338.135567162812,Manchester,7.0,8.400070916561926
Yes,-0.06683509222748418,Urban,36.0,F,Single,College,4394.449515969397,London,4.0,5.498440613353674
No,0.561725608487495,Suburban,29.0,F,Divorced,Graduate School,6265.737083859884,New Castle,6.0,5.087210724860277
Yes,-0.2738486971318827,Urban,46.0,F,Married,High School,4160.06801128207,New Castle,4.0,3.7819913983932554
Yes,0.3305105136659613,Urban,33.0,F,Single,Graduate School,4979.797216861929,Manchester,5.0,8.705630754842048
No,-0.5147359029894487,Rural,8.0,F,,High School,4082.7919340183375,New Castle,3.0,7.592988193765612
No,-0.04805303885678104,Suburban,36.0,F,Married,High School,5385.428204396501,London,3.0,5.061609677643476
No,0.0430800128906792,,38.0,M,Single,High School,1383.7624133867148,New Castle,3.0,6.263843403949972
No,0.15330399826119845,Rural,33.0,F,Divorced,Graduate School,5852.291163905122,London,6.0,1.9098214618927671
No,0.08815030330454768,Rural,27.0,M,Divorced,College,2986.9992443496435,London,4.0,6.214069581460336
Yes,0.5954878555193662,Rural,43.0,M,Divorced,College,3460.538407348149,London,4.0,5.172849798757969
No,-0.15645221175316504,Rural,34.0,F,Married,High School,4460.977754376195,Manchester,8.0,5.367520942098712
Yes,-1.1119585461792125,Suburban,24.0,M,Divorced,Graduate School,4632.164445625591,London,5.0,5.853056358540931
No,0.14355530573053754,Suburban,,F,Married,Graduate School,5139.301655122284,London,3.0,5.54887229378709
Yes,0.5573723643517443,Suburban,46.0,F,Divorced,College,3315.26939542719,New Castle,3.0,5.432819243648809
No,0.48652673188507833,Rural,41.0,M,Married,Graduate School,3103.9101784650984,London,5.0,4.029593706642199
Yes,0.10408122868062672,Suburban,32.0,M,Single,College,4298.813353725627,London,5.0,2.804952472868405
No,0.6991460376168187,Suburban,36.0,F,Married,College,6396.918303432953,London,7.0,6.725262490466394
Yes,0.6739904906385907,Urban,37.0,M,Married,High School,4685.738160864079,Manchester,3.0,5.904764285249305
No,-0.07902762803024496,Rural,33.0,M,Divorced,Graduate School,6303.852543582043,New Castle,6.0,5.351032725301919
No,-0.04097227580918143,Rural,39.0,M,Divorced,College,4058.5949244997314,New Castle,5.0,5.93009152577728
No,0.23518984943615745,Suburban,23.0,M,Single,,6051.357030554005,New Castle,5.0,7.197315085699543
No,0.02653322179322734,Suburban,20.0,M,Married,College,3330.030132509667,New Castle,4.0,4.80103224668048
Yes,-0.45383878309150877,Suburban,35.0,M,Divorced,Graduate School,6806.156677843099,New Castle,5.0,5.162113526578364
Yes,0.5069262219256122,Urban,37.0,F,Married,College,3764.992801617117,London,5.0,3.495905007203819
No,0.360729780795338,Rural,31.0,F,Single,College,4522.708793491886,Manchester,3.0,6.386690458579622
Yes,0.06053636070498861,Urban,27.0,F,Divorced,College,3369.3044568960468,London,5.0,4.292641627944326
No,-0.23011338406925652,Suburban,23.0,M,Divorced,High School,3361.4696945001097,Manchester,5.0,7.1564519914539195
Yes,-0.2934574103010593,Urban,30.0,M,Married,College,4714.547062677429,London,5.0,4.299562120856145
No,0.38369546769558904,Suburban,28.0,M,Married,High School,3455.7277253354514,New Castle,3.0,5.717859113891598
Yes,0.6904165285602298,Rural,43.0,F,Divorced,Graduate School,2965.7422275604467,Manchester,3.0,6.76684096383185
No,0.8656307757156623,Rural,43.0,F,Single,High School,3289.495580098179,New Castle,4.0,5.663107937666501
Yes,-0.17594939043166627,,36.0,M,Divorced,High School,3241.6449941063565,Manchester,4.0,4.789822621310937
Yes,-0.10225986809258802,Urban,33.0,M,Single,College,5020.965806859133,Manchester,3.0,4.761750637139426
Yes,-0.46904928677666075,Suburban,21.0,M,Divorced,College,6032.060205054104,Manchester,7.0,5.3242818155896945
,0.4537459425848279,Urban,46.0,F,Divorced,Graduate School,3795.474299182476,London,4.0,5.25952936512303
,-0.7418985211037168,Urban,29.0,F,Divorced,Graduate School,4186.918047307903,Manchester,5.0,5.811872850611713
Yes,0.2972822016637739,Urban,50.0,F,Divorced,High School,3513.368522215509,London,0.0,5.181318620951283
No,0.3806732022237206,Rural,,F,Married,College,3584.871818411304,Manchester,2.0,5.1624268786401855
No,-0.21479688274137948,Rural,43.0,F,Divorced,Graduate School,4355.715440684973,Manchester,5.0,6.504432695313978
No,0.09935568841748466,Suburban,26.0,F,Divorced,College,6050.4918207708815,New Castle,4.0,7.2117342856330815
No,0.007951961203983615,Rural,10.0,M,Single,High School,4343.374925797553,London,5.0,4.44716708494048
No,-0.0971035498143806,Suburban,43.0,M,Divorced,High School,2575.5074370767343,New Castle,5.0,5.40662452546226
Yes,-0.35090519035603296,Urban,34.0,M,Married,High School,5948.998252742176,New Castle,7.0,3.9420115348897795
No,-0.1942217212056459,Rural,23.0,M,Single,High School,,New Castle,4.0,5.011385137593105
Yes,0.3238415396919918,Urban,33.0,M,Single,College,4433.596375308246,New Castle,4.0,4.686873197211363
No,-0.24864927712348417,Rural,19.0,M,Married,Graduate School,4822.522412038469,New Castle,3.0,6.085205420553751
No,0.21846169606629784,Rural,23.0,F,Married,College,3968.6081972922157,London,7.0,4.205881604295148
Yes,0.3520301042222169,Suburban,33.0,M,Divorced,Graduate School,5045.255767558168,London,4.0,8.187540805896203
Yes,0.6516637880302937,Urban,30.0,M,Divorced,College,3898.63796092298,New Castle,4.0,3.9136744309193383
No,0.11924890536584543,Rural,18.0,M,Divorced,High School,4875.014200125918,Manchester,4.0,4.7981015797908615
No,0.0345318636414251,Rural,21.0,F,Divorced,Graduate School,2548.249253962467,Manchester,4.0,5.1509557455695605
Yes,-0.21001908420131432,Urban,26.0,F,Divorced,Graduate School,5545.599204923732,New Castle,6.0,5.59597401259367
Yes,0.26998529379287906,Urban,44.0,M,Married,College,4564.140522834195,Manchester,4.0,6.804698719466739
No,-0.20705787948719268,Rural,42.0,M,Married,Graduate School,5229.440651803046,New Castle,5.0,6.052881322782213
Yes,-0.13773804413798094,Suburban,39.0,F,Divorced,High School,5087.2647715253015,Manchester,4.0,5.871504092962583
No,0.1549359693575066,Rural,39.0,F,Divorced,Graduate School,4229.806701023324,Manchester,4.0,4.686173211004238
Yes,-0.7626459508348025,Urban,20.0,F,Single,College,4504.854860266486,Manchester,6.0,5.006619750314706
No,-0.3012243072512516,Rural,44.0,F,Married,College,4841.421286857246,New Castle,4.0,5.066611734580911
Yes,0.8050934409646772,Urban,40.0,F,Divorced,Graduate School,2973.215475466306,Manchester,2.0,3.9424659593396747
Yes,0.4862546169432035,Urban,48.0,M,Divorced,High School,4238.932930512033,London,5.0,5.990926900694877
Yes,0.2075087684435964,Suburban,35.0,F,Single,Graduate School,3460.7670298597304,New Castle,4.0,9.373543833329109
Yes,-0.32893303976055444,Suburban,44.0,M,Divorced,,3882.5995938470896,Manchester,5.0,3.4810589491966377
No,0.234525420636009,Suburban,36.0,M,Single,Graduate School,3984.1277626029887,New Castle,3.0,4.805384893512005
No,0.7010079995977885,Rural,21.0,M,Married,High School,2911.0552735030205,Manchester,6.0,5.881224507573548
,0.409803286275896,Urban,42.0,F,Divorced,Graduate School,3199.096987477071,London,,5.438315982655887
Yes,0.41495293932448485,Urban,40.0,F,Single,High School,4466.513000267425,New Castle,3.0,5.677595158420493
Yes,1.1670037508188238,Suburban,47.0,F,Divorced,College,5034.687706757473,Manchester,4.0,4.101579340957885
No,-0.09994755872055783,Rural,26.0,F,Divorced,College,4543.559938476725,Manchester,5.0,4.197823014986367
Yes,0.4837537399210641,Urban,53.0,M,Single,High School,6783.5414555328825,Manchester,2.0,2.0039393497389772
No,0.018965080794311417,Rural,33.0,F,Married,Graduate School,6209.114115246216,Manchester,3.0,4.790339408634186
Yes,-0.22365346588713303,Rural,24.0,M,Single,High School,3583.1391483016732,London,6.0,7.047622158360613
Yes,-0.019885601775249187,Urban,29.0,F,Single,High School,7209.939381333414,London,4.0,4.335429955674112
No,0.03058033004024807,Rural,26.0,F,Married,College,3535.4608145297134,Manchester,5.0,5.24671414732632
Yes,0.7843744281557421,Urban,34.0,F,Married,Graduate School,5147.163639263015,New Castle,2.0,4.773429863467864
Yes,,Suburban,46.0,F,Single,Graduate School,3565.031644426387,London,4.0,7.247070210674948
Yes,-0.2256623576459464,Urban,30.0,F,Divorced,High School,5746.472082099805,New Castle,4.0,4.126840852435894
Yes,0.5113231120527268,Urban,50.0,F,Divorced,College,4425.9953648492665,Manchester,3.0,5.223734803995105
Yes,0.37155745600009005,Urban,50.0,F,Single,Graduate School,3243.1227339611846,Manchester,1.0,5.476563706637434
Yes,-0.03831780804298475,Urban,32.0,M,Single,High School,3356.16465118216,New Castle,6.0,5.377886159051306
No,0.2787708521878896,Urban,24.0,M,Divorced,Graduate School,3873.4233803571074,New Castle,5.0,5.8269839731866195
No,0.4651334422715715,Rural,30.0,F,Divorced,High School,5501.433302761695,Manchester,4.0,5.80666045917841
Yes,0.2065838449988313,Urban,41.0,F,Single,High School,5252.3529136837515,London,2.0,5.640186899385166
Yes,0.5124981591483984,Urban,41.0,M,Divorced,College,1845.379280945123,London,,5.881803409229646
Yes,-0.26565760588305565,Suburban,38.0,M,Single,High School,4095.327732131367,Manchester,4.0,5.861390991669104
Yes,0.40565815046356,Suburban,37.0,F,Single,Graduate School,3807.4043311169094,New Castle,3.0,4.916452464548397
Yes,0.4365916486880216,Urban,40.0,M,Single,College,4359.268898996558,New Castle,5.0,6.665739317858892
No,-0.3494376869160803,Rural,30.0,M,Married,High School,5022.47777230419,London,3.0,5.227816020294057
No,-0.18035665287487093,Rural,20.0,F,Single,High School,3656.1159836559295,Manchester,,5.047153807503394
No,0.7976360044296121,Urban,36.0,M,Married,College,2913.7008052044794,,3.0,5.270023821084056
Yes,0.8501388377250056,Suburban,38.0,M,Divorced,College,4218.016332282671,New Castle,5.0,4.559677853916862
Yes,-0.689934843619434,Urban,35.0,F,Single,Graduate School,5353.654255156418,Manchester,5.0,5.080423351228878
No,-0.27841964831123056,Rural,30.0,M,Married,High School,5166.490451984775,London,4.0,6.555411418657995
Yes,-0.8012836411978915,Urban,30.0,M,Divorced,College,,Manchester,4.0,4.607549556124341
Yes,0.2625329822829009,Suburban,27.0,F,Single,Graduate School,3400.2607471374686,New Castle,3.0,4.683288439029316
Yes,0.03906649493134981,Suburban,39.0,F,Divorced,College,3850.855074126531,New Castle,5.0,5.997982954032529
No,0.11328247423926854,Urban,37.0,F,Married,College,2803.1340280323243,New Castle,5.0,5.4182837794153595
Yes,0.7613655180230177,Urban,34.0,F,Divorced,High School,5276.1504962189865,Manchester,5.0,3.2989958501797925
Yes,-0.13089711353724276,Urban,37.0,,Married,Graduate School,3140.4749371758157,Manchester,5.0,6.093528027018016
No,0.8030082582098769,Rural,49.0,M,Single,College,5126.4437394215865,New Castle,5.0,6.03480215016069
Yes,0.19100578407548735,Urban,25.0,M,Divorced,Graduate School,3771.5591663340165,Manchester,,4.493507748040079
No,0.4766301879937256,Rural,30.0,F,Married,Graduate School,3435.7699333607748,Manchester,5.0,6.7105446740442956
Yes,-0.3538944207570536,Rural,27.0,F,Single,Graduate School,3713.9216132589395,Manchester,4.0,3.8597715877365637
,0.9003679366481756,Suburban,31.0,M,Married,High School,4361.708479052977,Manchester,6.0,4.834237401609036
Yes,0.685950048329697,Urban,44.0,M,Single,High School,4427.146835916731,New Castle,4.0,5.023529590731015
Yes,0.039585658202038576,Urban,22.0,M,Divorced,College,4642.46629760756,New Castle,5.0,5.834835884185173
Yes,-0.3410939787921629,Rural,36.0,F,Single,College,5632.737441636156,New Castle,5.0,7.3348787338408155
Yes,0.3733793774069495,Suburban,42.0,F,Divorced,College,3973.789258952387,London,2.0,4.117280574835133
Yes,-0.21437889094418855,Urban,20.0,M,Married,High School,4175.156620545618,London,4.0,3.9874927281307597
No,-0.06752650684680188,Rural,15.0,F,Married,Graduate School,5427.529657227127,London,7.0,5.5175457101813965
Yes,0.3770464754548153,Suburban,35.0,M,Single,High School,3893.9642418026515,New Castle,4.0,5.3460197751606175
Yes,0.08213447453252279,Urban,47.0,,Single,Graduate School,5820.355340087304,London,3.0,5.475673794510523
No,0.12441738690892684,Rural,24.0,F,Married,High School,5213.825910000859,London,4.0,5.730232128747634
Yes,-0.07169354194070017,Urban,38.0,M,Divorced,College,6053.010705550429,Manchester,3.0,2.7137257814208118
No,-0.5512041152598908,Suburban,14.0,F,Single,Graduate School,3818.1220424011,London,2.0,3.957139256677
Yes,-0.11461430120682554,Suburban,30.0,M,Divorced,College,5473.980173185793,Manchester,4.0,5.769316793965952
,0.4974442577703798,Urban,40.0,M,Single,Graduate School,5803.102303209739,Manchester,5.0,5.101042740188655
No,0.21211508777689403,Rural,22.0,F,Married,Graduate School,2158.9693728777947,London,5.0,4.5569542389477276
Yes,0.03498509164759708,Urban,38.0,M,Divorced,Graduate School,5705.6798158412985,Manchester,6.0,5.990600675428828
Yes,-0.11830124831110465,Suburban,44.0,F,Divorced,Graduate School,3905.775451910892,New Castle,4.0,3.4703541217769898
Yes,0.9742359860087972,Urban,56.0,F,Single,College,4133.296147269363,London,2.0,6.205679978868449
No,-0.12231068136481182,Rural,32.0,F,Married,Graduate School,4861.724059936691,New Castle,5.0,5.0829518939961265
Yes,0.7420278464025002,Urban,39.0,F,Single,College,3777.4002358631865,Manchester,4.0,2.5521755438912344
,-0.3231754798365052,Urban,21.0,F,Single,High School,3410.8392231945236,Manchester,7.0,8.523809717571252
No,0.09342568628405834,Rural,25.0,F,Married,College,4808.497718072398,,3.0,6.840590391139163
Yes,0.07881344868449694,Urban,35.0,M,Divorced,High School,3201.1718239274505,Manchester,4.0,4.872200493010059
Yes,-0.6378473007485251,Urban,32.0,F,Single,High School,4996.593080467317,Manchester,5.0,5.3599750623714595
Yes,-0.3051350471821689,Suburban,33.0,M,Married,High School,3428.7386630052415,Manchester,4.0,2.346181165139556
Yes,-0.41053898762484575,Urban,26.0,F,Single,College,5343.320957900309,Manchester,6.0,5.890903158297421
No,0.3014809499467007,Urban,32.0,M,Married,College,4042.40052974441,London,5.0,4.13201824984624
Yes,0.2779437914901989,Urban,42.0,M,Divorced,College,3266.836957311715,Manchester,6.0,5.952827265815731
Yes,0.9896630216944298,Suburban,52.0,M,Single,Graduate School,5125.497637560781,New Castle,5.0,5.744328058136238
Yes,0.09866675384526505,Urban,38.0,F,Single,Graduate School,5019.707376092288,New Castle,4.0,6.061353058871145
No,-0.40123649192555344,Rural,21.0,F,Married,Graduate School,2406.3334731227433,Manchester,4.0,6.774651093863094
Yes,0.7176009192878473,Urban,36.0,F,Single,College,2696.0823681087268,Manchester,7.0,4.864278152248672
No,-0.21462604076391123,Rural,29.0,F,Married,High School,5878.730546579033,Manchester,4.0,4.044373222791291
Yes,0.5766623059454626,Suburban,57.0,M,Divorced,Graduate School,5919.116945062377,New Castle,2.0,5.467630790805419
Yes,-0.15470185065983139,Urban,25.0,F,Divorced,High School,3544.8630100153246,New Castle,5.0,6.47488887911056
Yes,-0.03452774108529266,Suburban,42.0,M,Divorced,Graduate School,6311.3814551470905,Manchester,5.0,7.858939133549462
No,-0.10812557512829331,Rural,30.0,F,Single,High School,2409.4421726602422,London,7.0,4.3929256593228505
Yes,0.8239251325060742,Suburban,47.0,F,Single,College,4384.884190337765,New Castle,2.0,5.7503107824267445
No,0.20619497733177478,Suburban,33.0,F,Divorced,College,3674.684469359985,Manchester,3.0,4.454712177589894
No,-0.33841896279579775,Urban,40.0,F,Married,High School,5747.145027694821,London,5.0,5.164846770841267
Yes,0.46896935165624287,Urban,51.0,M,Married,College,4536.480927701768,New Castle,3.0,5.29182014240612
Yes,-0.5629756994969723,Urban,23.0,M,Married,Graduate School,2862.807125860656,London,3.0,3.824228296844641
Yes,0.559618174363016,Rural,42.0,F,Divorced,College,3360.6967248551264,London,4.0,5.864992467557369
Yes,-0.06499428154181947,Urban,49.0,M,Divorced,College,5574.2601862661695,New Castle,4.0,6.461920841172291
No,0.11789472647878901,Rural,29.0,M,Divorced,High School,7313.17407329647,London,4.0,5.608101784322989
,0.43424239987145574,Urban,31.0,M,Married,Graduate School,5751.873582029021,New Castle,6.0,7.175949900350419
Yes,-0.013906718416086039,Urban,41.0,M,Divorced,Graduate School,4845.83065460921,Manchester,4.0,7.795657803775883
No,0.3517366399194989,Rural,31.0,F,Married,Graduate School,5279.894440798698,Manchester,5.0,5.4239596001416155
Yes,-0.028994719213898817,Urban,44.0,F,Divorced,High School,2615.850936029952,London,4.0,2.9047510926314204
Yes,-0.15553532323603514,Urban,25.0,F,Divorced,Graduate School,3811.908836751076,Manchester,4.0,7.563072109585848
No,-0.10372480951025434,Rural,34.0,M,Married,Graduate School,4283.053986250602,London,4.0,5.730298852504063
Yes,0.24351853654684374,Urban,41.0,M,Divorced,College,2246.502878750302,London,5.0,4.143452559277004
No,0.2774709383878901,Suburban,36.0,F,Married,Graduate School,5513.8660395934785,New Castle,3.0,3.5253360336180446
Yes,-0.6834805905586698,Urban,33.0,F,Single,High School,4322.6604186567865,New Castle,6.0,6.700445496332915
No,0.298765416628836,Suburban,41.0,F,Divorced,Graduate School,4016.6747446048885,New Castle,6.0,5.228442580567246
No,-0.14422909760335692,Suburban,29.0,F,Married,High School,3548.756984596786,New Castle,5.0,5.363129356206227
Yes,-0.733839323025988,Urban,18.0,F,Divorced,High School,3297.9760907636337,Manchester,5.0,4.771683714028682
Yes,0.18020274961833038,Rural,44.0,,Divorced,High School,3726.0372867828064,New Castle,3.0,3.4301832759013475
Yes,-0.37504208052627097,Urban,37.0,F,Married,College,4553.867195070412,London,7.0,5.229908484763816
No,0.04088004969721243,Suburban,27.0,M,Single,High School,4101.475317880699,Manchester,1.0,3.4287649390737873
Yes,0.05073258032203076,Suburban,36.0,F,Married,Graduate School,3415.3007050201168,London,4.0,4.613538417043235
Yes,-0.1237033413359096,Rural,,M,Married,,4947.804016490247,New Castle,4.0,5.425465690892977
No,0.13752186331901906,Suburban,26.0,F,Single,Graduate School,5565.4633555377995,London,4.0,5.739787388051343
Yes,0.8052007834236193,Rural,55.0,F,Divorced,College,5440.76712099617,New Castle,,7.950569664311475
Yes,-0.41855679941701845,Rural,37.0,F,Divorced,College,4477.424284799621,London,4.0,5.102902022173062
Yes,0.772914920605315,Rural,42.0,F,Single,High School,4005.5471157657794,New Castle,3.0,4.421483603086156
Yes,0.4161793731109348,Suburban,29.0,M,Single,Graduate School,3447.1369707065337,Manchester,7.0,3.2215310704435867
Yes,0.43827041709687276,Suburban,43.0,M,Divorced,College,4767.037854580981,London,5.0,7.231401239248279
No,-0.013976939704415617,Suburban,18.0,M,Single,Graduate School,2872.3564621920946,London,3.0,4.223498833354402
No,0.20833011883412433,Urban,,F,Married,College,5291.094373576649,Manchester,4.0,6.518650621430817
No,0.31286648931273947,Rural,37.0,M,Single,Graduate School,3727.5423779926764,New Castle,3.0,5.752936492635982
No,,Rural,20.0,F,Married,Graduate School,4750.001499672318,New Castle,5.0,5.62116719897688
No,-0.23305277410903358,Rural,24.0,M,Married,Graduate School,5227.858254384715,London,6.0,6.99284234605512
Yes,-0.8950773684493588,Urban,24.0,F,,Graduate School,4079.254710931291,London,6.0,3.386695780946997
No,0.18771755798937123,Rural,24.0,F,Single,High School,2889.998199803773,Manchester,5.0,6.20023761615108
Yes,0.4186907359775378,Urban,40.0,F,Divorced,College,5751.021876919584,New Castle,4.0,4.742022913251203
Yes,-0.21586655312117842,Urban,23.0,M,Divorced,Graduate School,4206.437977819493,New Castle,7.0,6.211027961550355
Yes,0.5812070317925244,Urban,45.0,F,,High School,2565.019691338677,Manchester,1.0,4.14086083110318
Yes,-0.3937142139235538,Suburban,35.0,F,Single,Graduate School,4415.160069266089,New Castle,6.0,
Yes,0.19866655086450075,Rural,37.0,M,Divorced,High School,4100.2308699342075,New Castle,6.0,6.366121068183562
Yes,1.2422514748621554,Urban,38.0,M,Single,College,5275.133836278418,London,3.0,5.012995773741256
,-0.3970410725582985,Suburban,42.0,M,Married,College,4181.641775958226,London,4.0,5.1498622353326935
No,-0.16237423692844877,Rural,25.0,M,Divorced,Graduate School,6082.932360660046,Manchester,4.0,5.342419340044797
No,-0.04645022090627042,,21.0,M,Single,College,3999.288137750822,New Castle,4.0,4.117088246296711
Yes,0.5594493460178483,Suburban,48.0,M,Single,Graduate School,7517.362365367488,New Castle,5.0,2.863976445839641
No,0.05261059506678609,Suburban,37.0,M,Married,College,3748.4110544034947,London,4.0,4.637438237012536
Yes,0.18903593449836076,,42.0,F,Divorced,Graduate School,2163.750023078258,London,4.0,5.1213547851373304
No,0.5967851080949139,Suburban,46.0,F,Single,College,5180.786613485352,New Castle,3.0,3.515164121915862
Yes,-0.22946895891437027,Urban,27.0,F,Married,High School,4592.783816634616,London,2.0,5.632326467411763
Yes,0.5780266931720983,Urban,46.0,M,Divorced,College,6847.540410144914,Manchester,4.0,7.266795471071813
Yes,-0.331693717489666,Rural,35.0,M,Divorced,Graduate School,5085.121342078962,,6.0,5.487740935055153
Yes,0.24559185928184696,Suburban,39.0,F,Married,High School,3178.273761767568,Manchester,6.0,6.734158815271665
No,-0.3647818379543898,Rural,24.0,F,Married,College,4725.6624798369185,New Castle,5.0,4.965241863569408
Yes,-0.23857734120438856,Urban,36.0,M,Single,Graduate School,6139.838833834635,Manchester,5.0,5.48413556834942
Yes,0.20105496907219333,Urban,42.0,F,Divorced,Graduate School,3040.501091431378,London,2.0,5.917209255526858
Yes,0.5070485011037545,Urban,36.0,,Single,Graduate School,5464.917002383245,New Castle,5.0,6.053049389944705
No,-0.13096272970860767,Suburban,15.0,M,Married,High School,4743.305378390816,Manchester,4.0,5.6507956069665575
Yes,0.14640232585407997,Urban,44.0,F,Single,College,5226.619478640476,London,4.0,5.992853333602074
Yes,0.2777983467569248,Suburban,41.0,F,Married,High School,3603.1361941812684,New Castle,5.0,8.152139015818783
Yes,-0.10592151639501232,Suburban,41.0,F,Single,High School,3653.5874765428853,New Castle,2.0,7.220277153620168
No,0.5171114636730757,Suburban,26.0,M,Married,Graduate School,6269.161392413075,London,8.0,6.7575599475327515
Yes,0.09330455027223555,Suburban,29.0,F,Divorced,Graduate School,5773.796396947675,Manchester,2.0,6.6106069296987275
Yes,0.3781892265860196,Suburban,27.0,F,Single,College,4885.051345533952,Manchester,5.0,6.62171738757946
Yes,0.44042856315552326,Urban,42.0,F,Single,High School,5666.000190565976,Manchester,5.0,4.93551560762909
No,0.6907579242581808,Rural,34.0,F,Married,Graduate School,6832.467526943891,Manchester,7.0,1.3305334499420836
No,-0.10450678327555357,Suburban,28.0,M,Single,Graduate School,4661.132605810917,New Castle,4.0,5.800514997098787
No,0.35149602464273844,Rural,35.0,M,Married,High School,4221.1454712063705,Manchester,7.0,4.50784159917098
No,0.4691670309070767,Rural,36.0,F,Single,Graduate School,5379.15372621095,London,4.0,5.491116010839897
Yes,0.464300930485405,Suburban,53.0,M,Married,Graduate School,,New Castle,4.0,5.338370370526771
No,0.7286989912961344,Rural,46.0,M,Married,High School,4800.489408331614,Manchester,5.0,5.28122577620771
No,,,19.0,M,Divorced,High School,4125.930132857596,New Castle,4.0,2.5715818962517134
Yes,0.2991945390102628,Urban,38.0,F,Divorced,High School,1405.2050520418707,London,5.0,4.1703684449080445
Yes,0.5047767411924424,Urban,35.0,M,Single,College,3917.7649177890885,London,4.0,4.092436183177022
No,0.10227796043533008,Suburban,27.0,F,Divorced,College,6135.071591858394,London,3.0,5.879919029734845
No,0.27899362200861627,,28.0,F,Married,College,3459.9888796460696,Manchester,5.0,7.153331408195166
No,0.4493050057649103,Rural,43.0,F,Married,College,5546.242683809288,Manchester,4.0,4.449944467977056
Yes,-0.24480174861292836,Suburban,22.0,M,Divorced,Graduate School,3865.0652224803734,Manchester,6.0,5.7835117092145465
Yes,0.32870400463755933,Rural,28.0,F,Single,Graduate School,2645.8930192301664,New Castle,6.0,5.630916358356791
