area_type,availability,location,size,bath,balcony,price
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,2,110
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,2,47
Super built-up  Area,Ready To Move,Gottigere,2 BHK,2,2,50
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,4,0,95
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,6,3,375
Plot  Area,Ready To Move,7th Block Jayanagar,4 Bedroom,3,2,480
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,1,52
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,44
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,2,2,76
Built-up  Area,Ready To Move,Thanisandra,3 BHK,3,1,88
Super built-up  Area,22-?.?.,Devanahalli,3 BHK,3,3,79.15
Built-up  Area,Ready To Move,Bellari Road,4 BHK,2,1,350
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,2,1,48.27
Super built-up  Area,Ready To Move,Hennur,2 BHK,2,2,53.5
Super built-up  Area,Ready To Move,Channasandra,2 BHK,2,1,35
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,2,125
Super built-up  Area,18-?.?.,1st Stage Indira Nagar,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,2,37.28
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,4,2,145
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,1,36.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,2,35
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,1,54.3
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,3,2,74
Built-up  Area,Ready To Move,Tindlu,2 BHK,2,2,52
Super built-up  Area,Ready To Move,6th Block Jayanagar,3 BHK,4,2,255
Super built-up  Area,Ready To Move,Jigani,3 BHK,3,2,65
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,46
Built-up  Area,Ready To Move,Thanisandra,3 BHK,3,2,122
Built-up  Area,18-?.?.,Whitefield,3 BHK,3,2,69
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,3,2,98
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,3,220
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,2,2,81.5
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,1,54.92
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,2,115
Built-up  Area,Ready To Move,Marathahalli,2 BHK,2,2,68
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2,3,80
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,3,60.98
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,2,2,37
Super built-up  Area,19-?.?.,Begur Road,4 BHK,6,0,118
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,2,56.8
Super built-up  Area,18-?.?.,Electronic City Phase II,2 BHK,2,2,40
Built-up  Area,Ready To Move,Kadarenahalli,1 Bedroom,1,0,35
Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,4,2,325
Super built-up  Area,Ready To Move,Hebbal,4 BHK,4,2,410
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,2,2,100
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,60.42
Super built-up  Area,Ready To Move,Punappa Layout,3 BHK,2,1,55
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4,2,152
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,2,1,58.58
Built-up  Area,Ready To Move,Chamrajpet,3 BHK,3,2,98.91
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,2,89
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,3,1,88
Plot  Area,Ready To Move,KR Puram,5 Bedroom,5,,310
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,2,1,62
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,3,1,65
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,2,2,73
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,2,1,60
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,2,2,95
Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,2,3,45.5
Plot  Area,Ready To Move,Bommasandra Industrial Area,2 Bedroom,3,0,45
Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,2,1,156
Built-up  Area,Ready To Move,4th Block Koramangala,4 Bedroom,5,3,180
Super built-up  Area,18-?.?.,Hebbal,3 BHK,2,1,95
Super built-up  Area,22-??.?.,Hoodi,3 BHK,3,2,131
Super built-up  Area,18-?.?.,Whitefield,4 BHK,5,3,190
Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1 BHK,1,1,276
Built-up  Area,Ready To Move,Electronic City,2 BHK,1,1,15
Super built-up  Area,Ready To Move,Balaji Gardens Layout,1 BHK,2,1,40
Super built-up  Area,20-?.?.,Begur Road,3 BHK,3,1,111
Plot  Area,Ready To Move,Kogilu,8 Bedroom,6,3,105
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,2,2,80
Super built-up  Area,Ready To Move,Gottigere,3 BHK,3,2,63
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,4,2,100
Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,6,2,375
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1,1,39.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,3,78.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,1,100
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,3,3,179
Plot  Area,Ready To Move,Hebbal,4 Bedroom,4,2,225
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,3,3,170
Built-up  Area,Ready To Move,Harlur,2 BHK,2,1,82
Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,2,3,60
Plot  Area,Ready To Move,Billekahalli,5 Bedroom,5,2,98.5
Super built-up  Area,20-?.?.,Whitefield,1 BHK,1,1,57.6
Super built-up  Area,20-?.?.,Whitefield,1 BHK,1,0,19.83
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,1,71.38
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,2,1,62
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,2,1,70
Built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,1,1,18
Super built-up  Area,Ready To Move,CV Raman Nagar,1 BHK,1,1,57
Super built-up  Area,Ready To Move,Ilyas Nagar,4 BHK,6,2,75
Built-up  Area,Ready To Move,Tumkur Road,5 Bedroom,5,2,150
Built-up  Area,Ready To Move,Koramangala Industrial Layout,4 Bedroom,5,,600
Plot  Area,Ready To Move,Gubbalala,4 Bedroom,4,3,425
Built-up  Area,18-?.?.,Whitefield,3 BHK,3,2,104
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,3,2,90
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,1,1250
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,2,2,38
Super built-up  Area,18-?.?.,Thanisandra,3 BHK,3,2,120
Super built-up  Area,21-?.?.,Kanakpura Road,1 BHK,1,1,26
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,5,2,120
Plot  Area,18-??.?.,Basaveswarnagar,6 Bedroom,4,2,420
Super built-up  Area,18-?.?.,Iblur Village,3 BHK,4,2,138
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,2,93
Super built-up  Area,Ready To Move,Gottigere,2 BHK,2,3,40
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,3,3,46
Super built-up  Area,Ready To Move,Indira Nagar,4 BHK,4,,440
Super built-up  Area,18-?.?.,Sonnenahalli,3 BHK,3,2,80.48
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,2,41
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,2,2,50
Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,5,2,420
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,1,97
Super built-up  Area,Ready To Move,Jaymahal Road,3 BHK,3,3,400
Plot  Area,Ready To Move,Naganathapura,1 Bedroom,1,0,33
Built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,3,0,70
Built-up  Area,18-?.?.,"Off Sarjapur Road, ",3 Bedroom,3,2,147
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,1,0,42.5
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,4 Bedroom,3,1,180
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,3,0,95
Built-up  Area,Ready To Move,Mico Layout,2 Bedroom,2,1,80
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,1,90
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,4,1,325
Super built-up  Area,18-??.?.,Rajarajeshwari Nagara,3 BHK,2,2,45.12
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,35.47
Super built-up  Area,Ready To Move,Vasanth nagar,4 BHK,3,2,1063
Built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,1,0,72
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,1,68
Plot  Area,Ready To Move,Basaveshwara Nagar,8 Bedroom,6,0,250
Built-up  Area,Ready To Move,Prithvi Layout,3 Bedroom,4,2,192
Super built-up  Area,18-?.?.,Varthur Road,2 BHK,2,2,52.76
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,2,1,49
Super built-up  Area,18-?.?.,T R Mill Road,3 BHK,2,2,82
Super built-up  Area,Ready To Move,Singasandra,2 BHK,2,1,60
Plot  Area,Ready To Move,Victoria Layout,5 Bedroom,5,3,625
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,2,1,69
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5,3,242
Built-up  Area,Ready To Move,Indira Nagar,4 BHK,4,1,700
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,4,1,145
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,3,1,197
Plot  Area,18-?.?.,ITPL,3 Bedroom,3,1,56.12
Super built-up  Area,18-?.?.,Bommasandra,2 BHK,2,1,45
Built-up  Area,18-??.?.,Whitefield,3 BHK,3,2,97
Super built-up  Area,18-?.?.,Ananth Nagar,1 BHK,1,1,14
Plot  Area,18-?.?.,Varthur,3 Bedroom,3,1,68.38
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,2,2,43
Super built-up  Area,18-?.?.,CV Raman Nagar,2 BHK,2,2,47.88
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,2,45
Plot  Area,18-??.?.,Nagarbhavi,4 Bedroom,5,3,95
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,2,3,49
Super built-up  Area,Ready To Move,Sanne Amanikere,1 BHK,1,2,27
Super built-up  Area,19-??.?.,Hosa Road,3 BHK,2,1,84.86
Plot  Area,Ready To Move,Banashankari Stage VI,3 Bedroom,4,0,90
Carpet  Area,Ready To Move,CV Raman Nagar,2 BHK,2,1,38.5
Super built-up  Area,Ready To Move,Indira Nagar Stage 2,2 BHK,2,1,96
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2,1,59
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,2,2,52
Carpet  Area,Ready To Move,Hommadevanahalli,2 BHK,2,1,50
Super built-up  Area,Ready To Move,Varthur,3 BHK,2,3,61
Plot  Area,Ready To Move,BTM Layout 2nd Stage 1st Phase,4 Bedroom,5,2,395
Built-up  Area,Ready To Move,Hebbal,2 BHK,2,1,104
Super built-up  Area,18-??.?.,Tunganagara,1 BHK,1,0,18
Super built-up  Area,18-?.?.,Abbigere,3 BHK,2,1,34.8
Super built-up  Area,18-??.?.,Sarjapur  Road,3 BHK,,,85.125
Built-up  Area,Ready To Move,Koramangala,2 BHK,2,2,125
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,2,85
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,3,100
Super built-up  Area,18-?.?.,Kasavanhalli,3 BHK,3,2,132
Carpet  Area,Ready To Move,Doddakannelli,3 BHK,3,,75
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,2,1,58.11
Super built-up  Area,Ready To Move,T C Palya main Road,2 BHK,2,1,48.72
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,2,1,43.55
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3,2,175
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2,1,68.5
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,1,2,19.87
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,150
Built-up  Area,Ready To Move,Vishwapriya Nagar,4 Bedroom,4,1,200
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,2,,40
Super built-up  Area,22-?.?.,Koramangala,2 BHK,2,1,63.85
Super built-up  Area,17-??.?.,Banashankari Stage V,3 BHK,3,2,51.35
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,2,2,60
Super built-up  Area,Ready To Move,Lake City,2 BHK,2,1,28
Plot  Area,18-?.?.,Whitefield,3 Bedroom,3,1,67.77
Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,2,1,45
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,4,2,225
Built-up  Area,Ready To Move,Nagavara,2 BHK,2,2,70
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,2,2,90
Plot  Area,Ready To Move,Ulsoor,5 Bedroom,4,3,150
Built-up  Area,Ready To Move,Bellandur,2 BHK,3,3,90
Plot  Area,Ready To Move,JP Nagar,3 BHK,3,,175
Super built-up  Area,18-??.?.,Electronic City,2 BHK,2,1,64
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,2,2,70
Super built-up  Area,19-??.?.,Hebbal,3 BHK,3,2,117
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,2,2,75
Super built-up  Area,18-??.?.,Hebbal,3 BHK,3,2,199
Super built-up  Area,19-??.?.,Kodigehalli,3 BHK,3,2,150
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,1,73
Built-up  Area,Ready To Move,Akshaya Nagar,3 Bedroom,3,2,125
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,1,68
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,1,40
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,2,3,78
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,2,1,55
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2,1,30
Super built-up  Area,Ready To Move,Hegde Nagar,4 BHK,4,3,40
Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,6,0,385.5
Super built-up  Area,Ready To Move,Richards Town,2 BHK,2,1,85
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,1,85
Super built-up  Area,Ready To Move,Gunjur,2 BHK,2,2,43.48
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,3,,270
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,2,109
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3,1,90
Super built-up  Area,18-?.?.,Talaghattapura,3 BHK,3,2,135
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,3,,140
Super built-up  Area,18-??.?.,Rajaji Nagar,3 BHK,3,0,150
Super built-up  Area,Ready To Move,Jakkur,4 BHK,5,,795
Built-up  Area,Ready To Move,Whitefield,2 BHK,2,0,90
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,1,78
Super built-up  Area,Ready To Move,Bagalur,2 BHK,2,2,57
Plot  Area,Ready To Move,Jeevan bima nagar,4 Bedroom,4,1,200
Super built-up  Area,Ready To Move,Singasandra,2 BHK,2,1,37.5
Super built-up  Area,18-??.?.,Electronic City,1 BHK,1,0,13.31
Super built-up  Area,Ready To Move,1 Immadihalli,11 BHK,12,,150
Built-up  Area,Ready To Move,RMV Extension Stage 2,7 Bedroom,7,3,160
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,1,53
Built-up  Area,Ready To Move,Hulimavu,2 BHK,2,1,45
Super built-up  Area,Ready To Move,Electronic City,3 BHK,2,3,38
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,5,,340
Plot  Area,Ready To Move,Devi Nagar,2 Bedroom,2,1,80
Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,4,3,600
Built-up  Area,Ready To Move,BTM Layout,3 BHK,2,2,78
Built-up  Area,Ready To Move,"JP Nagar 7th Phase, ",3 BHK,2,2,93
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,4,2,120
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,1,60
Super built-up  Area,Ready To Move,Mico Layout,2 BHK,2,2,39.25
Plot  Area,Ready To Move,Sampigehalli,2 Bedroom,2,1,61
Plot  Area,Ready To Move,HAL 2nd Stage,7 Bedroom,7,3,250
Super built-up  Area,18-?.?.,Jakkur,2 BHK,1,1,19.9
Super built-up  Area,Ready To Move,Domlur,3 BHK,3,2,285
Super built-up  Area,Ready To Move,Hennur Bande,3 BHK,2,1,60
Plot  Area,18-?.?.,ITPL,3 Bedroom,3,1,56.12
Super built-up  Area,Ready To Move,Kamakshipalya,3 BHK,2,2,52
Plot  Area,Ready To Move,Navodaya Nagar,5 Bedroom,3,2,180
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,3,120
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,2,2,45
Plot  Area,18-?.?.,Kasavanhalli,4 Bedroom,4,2,344
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,2,35.11
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,6,,385
Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,6,3,100
Plot  Area,18-?.?.,Pattanagere,4 Bedroom,4,1,95
Built-up  Area,Ready To Move,Karuna Nagar,3 Bedroom,3,2,175
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,4,3,240
Super built-up  Area,18-?.?.,B Narayanapura,3 BHK,3,2,77.27
Super built-up  Area,Ready To Move,Attibele,2 BHK,2,1,29.35
Super built-up  Area,19-??.?.,Bannerghatta Road,3 BHK,3,1,115
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,2,2,138
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,3,2,142
Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,3,3,95
Built-up  Area,Ready To Move,Kothanur,3 BHK,3,0,97
Plot  Area,17-?.?.,Kumara Park,4 Bedroom,5,1,800
Plot  Area,18-?.?.,Whitefield,2 Bedroom,2,1,45
Built-up  Area,Ready To Move,Kengeri,4 Bedroom,4,0,160
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,2,1,53.4
Super built-up  Area,22-?.?.,Jakkur,4 BHK,,,229
Plot  Area,Ready To Move,Guni Agrahara,7 Bedroom,6,,115
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,2,2,100
Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,4,0,393.5
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2,1,60
Super built-up  Area,19-?.?.,Shankarapuram,4 BHK,4,2,350
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,41
Super built-up  Area,Ready To Move,Shetty Halli,1 BHK,1,2,32
Super built-up  Area,19-?.?.,Electronic City,1 BHK,1,1,13.5
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,40
Plot  Area,Ready To Move,AGB Layout,7 Bedroom,6,3,145
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 Bedroom,4,1,235
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,2,1,33.53
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4,2,160
Super built-up  Area,21-?.?.,Talaghattapura,3 BHK,3,3,159
Plot  Area,18-?.?.,Banashankari Stage VI,3 Bedroom,3,2,90
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,1,2,50
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,2,2,43.5
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4,2,155
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,1,230
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2,1,89
Super built-up  Area,18-?.?.,Ramagondanahalli,2 BHK,2,1,50
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,53
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,2,45
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,2,2,60
Built-up  Area,Ready To Move,Bommasandra,3 BHK,2,3,45
Super built-up  Area,Ready To Move,Judicial Layout,4 BHK,3,2,94.71
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,3,60
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,2,40
Super built-up  Area,18-?.?.,Bannerghatta Road,3 BHK,2,2,62.89
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,9,3,240
Plot  Area,Ready To Move,Bidrahalli,1 Bedroom,1,1,35
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,1,50
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,2,40.43
Plot  Area,Ready To Move,Magadi Road,3 Bedroom,3,2,98
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,2,65
Super built-up  Area,Ready To Move,Jakkur,3 BHK,,,98.485
Plot  Area,Ready To Move,Choodasandra,4 Bedroom,4,2,375
Super built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,2,119
Super built-up  Area,Ready To Move,Bilal Nagar,2 BHK,1,1,20
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,2,77
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,2,68
Super built-up  Area,21-?.?.,Bannerghatta Road,3 BHK,3,2,89
Super built-up  Area,19-?.?.,Koramangala,2 BHK,2,1,165
Built-up  Area,Ready To Move,Thanisandra,3 BHK,4,1,125
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,2,0,55
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,2,1,46
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,3,2,77
Built-up  Area,18-??.?.,Panathur,1 BHK,1,1,40
Super built-up  Area,17-?.?.,Bannerghatta Road,2 BHK,2,2,60.16
Plot  Area,Ready To Move,Krishna Nagar,5 Bedroom,4,2,90
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,2,1,48
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,2,1,58
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,0,44
Super built-up  Area,Ready To Move,Benson Town,4 BHK,6,2,550
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,3,130
Built-up  Area,Ready To Move,Banjara Layout,2 Bedroom,2,1,64.8
Super built-up  Area,Ready To Move,Kanakapura Main Road,2 BHK,2,1,37.8
Super built-up  Area,Ready To Move,Harlur,2 BHK,2,1,90
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,40.54
Built-up  Area,Ready To Move,Nagarbhavi,5 Bedroom,3,2,180
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,4,1,95
Super built-up  Area,18-?.?.,Bommanahalli,3 BHK,3,2,41
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2,3,87
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,3,49
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,65
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,1,0,45.4
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,1,75
Built-up  Area,Ready To Move,Palanahalli,4 Bedroom,4,3,428
Super built-up  Area,Ready To Move,Channasandra,2 BHK,2,1,34
Super built-up  Area,18-?.?.,Electronic City,2 BHK,1,1,26.63
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,1,97
Plot  Area,Ready To Move,Suryanagar,2 Bedroom,2,1,45
Super built-up  Area,21-??.?.,Vijayanagar,2 BHK,2,1,86
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,2,1,48.45
Super built-up  Area,Ready To Move,Nanjappa Layout,3 BHK,3,3,85
Super built-up  Area,18-?.?.,Konanakunte,4 BHK,4,1,511
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,3,2,170
Super built-up  Area,18-??.?.,Kothannur,3 BHK,2,2,39.85
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2,1,55
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,3,2,142
Super built-up  Area,Ready To Move,Gunjur,3 BHK,3,2,62.63
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,1,0,30.84
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,2,70
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,2,3,47
Plot  Area,Ready To Move,Wilson Garden,8 Bedroom,12,,300
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,1,0,35
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,1,67.48
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,2,34
Super built-up  Area,20-?.?.,Rachenahalli,2 BHK,2,1,49.97
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,1,2,60
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,2,1,50
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,3,1,320
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,4,1,180
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,2,2,86
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2,2,81
Super built-up  Area,Ready To Move,Duvasapalya,2 BHK,2,1,48.6
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,2,42
Super built-up  Area,Ready To Move,R.T. Nagar,4 BHK,4,,400
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Hoskote,2 BHK,2,2,33.6
Super built-up  Area,Ready To Move,Attibele,1 BHK,1,0,19.55
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,2,2,80
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,2,2,36
Built-up  Area,Ready To Move,BCMC Layout,3 BHK,2,2,88
Plot  Area,Ready To Move,9th Phase JP Nagar,5 Bedroom,5,,160
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,4,2,300
Plot  Area,Ready To Move,Vishwapriya Layout,4 Bedroom,3,1,95
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,3,,90
Plot  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,4,2,125
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,46
Super built-up  Area,19-?.?.,Kanakpura Road,3 BHK,3,2,130
Super built-up  Area,18-?.?.,Padmanabhanagar,3 BHK,3,1,71.55
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,1,41.21
Super built-up  Area,18-??.?.,Whitefield,2 BHK,2,1,75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,3,1,60
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,5,1,201
Plot  Area,Ready To Move,Kothanur,4 Bedroom,4,2,175
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,40.54
