Sex,Education Level,Renew,Online Activity,Marital Status,Monthly Income,Months with Company,Brand Loyalty,Location Code,City,Years after high school graduation
Male,High School,No,5.365663458094238,Married,3748.7386420637636,42.0,0.22737982793007155,Suburban,Manchester,33.0
Male,Graduate School,No,3.6713579308087505,Divorced,4735.781225546958,59.0,-0.5302540123576178,Suburban,New Castle,38.0
Female,Graduate School,No,6.587966208375645,Single,3396.219685722303,54.0,-0.10886294340869919,Rural,Manchester,51.0
Male,Graduate School,No,4.154921531586956,Married,4782.737180659011,46.0,0.48496651225687604,,Manchester,19.0
Female,High School,No,6.580276414882418,Married,6000.293970745719,45.0,0.42726590199626635,Rural,New Castle,39.0
Male,High School,Yes,5.969569911198953,Divorced,6133.3374070369955,50.0,0.1422359965027858,Urban,London,27.0
Male,College,No,3.8488041380262223,Married,3683.628156972843,52.0,0.6364972452258586,Suburban,,31.0
Female,Graduate School,No,3.8093473413089516,Single,4871.975117002306,18.0,1.0997374451035067,Rural,New Castle,45.0
Male,High School,Yes,6.880518385026908,Divorced,6513.444637763101,42.0,0.3831725159332532,Suburban,New Castle,47.0
Female,College,Yes,6.856028025944719,Divorced,3904.7504739516166,28.0,-0.013457787571687418,Rural,Manchester,29.0
Male,College,No,3.792078178592612,Single,2709.448633908727,42.0,0.16177345915074837,Rural,New Castle,37.0
Female,Graduate School,No,3.612007688137392,Married,6379.295350852881,86.0,-0.264688243768406,Suburban,Manchester,27.0
Female,Graduate School,No,3.4509983302979257,Married,3519.4916833662887,90.0,-0.015026000357937414,Rural,London,28.0
Female,High School,Yes,5.858011783922494,Divorced,4909.14367256247,27.0,0.3262173595626343,Urban,New Castle,27.0
Male,College,Yes,6.971988633724816,Married,4895.945585257601,49.0,0.014904684015861175,Urban,New Castle,22.0
Male,College,No,4.667498221363693,Married,5106.363279541822,77.0,-0.3111668138826026,Suburban,New Castle,32.0
Male,College,Yes,6.625590119681652,Divorced,,66.0,,Urban,London,38.0
Female,Graduate School,Yes,3.937031154927234,Divorced,5557.428851402654,58.0,-0.3051933032394951,Rural,London,43.0
Male,High School,Yes,5.873096189827372,Divorced,5948.86629799235,50.0,0.3768062136518536,Urban,New Castle,32.0
Female,Graduate School,Yes,5.610912224241251,Single,4813.179412213448,72.0,-0.4653933595927248,Urban,Manchester,27.0
Female,College,Yes,5.440351919853926,Married,4826.629419334045,16.0,0.4363126583339837,Urban,Manchester,33.0
Male,High School,Yes,6.943695352869041,Married,4856.848064609055,67.0,-0.6452636802139196,Suburban,London,40.0
Female,College,Yes,7.055322686168765,Single,4620.979155898377,53.0,-0.155615498365161,Urban,London,38.0
Male,Graduate School,Yes,6.159214990732815,Divorced,4641.176178803395,29.0,0.20579302455994603,Urban,London,24.0
Male,High School,Yes,5.986278237295699,Divorced,4024.5654317901076,40.0,-0.27231441264847656,Urban,New Castle,30.0
Male,High School,Yes,5.413132183465991,Single,1742.0499040696182,15.0,-0.15266554637517485,Urban,Manchester,
Male,High School,Yes,6.041822327514573,Divorced,7291.80959970754,62.0,0.49406089827039623,Suburban,London,30.0
Female,High School,Yes,7.454995476561486,Divorced,7190.074532501927,83.0,-0.040881880407321186,Suburban,London,26.0
Male,,Yes,5.595365423121886,Single,5793.952845265512,32.0,0.4783038852105549,Rural,New Castle,
Female,Graduate School,No,4.298834873458108,Divorced,5368.350892456989,61.0,0.8997290988946145,Rural,Manchester,22.0
Male,High School,No,4.313384633652851,Married,6494.289665463212,,1.2065548699947335,Rural,New Castle,33.0
Male,College,Yes,4.3454446880877065,Divorced,4592.641720439515,43.0,-0.07826014453655869,Urban,New Castle,27.0
Male,High School,Yes,7.776844630342,Single,4896.691186190803,7.0,0.971756739771773,Suburban,New Castle,33.0
Female,High School,Yes,6.812088773339351,Divorced,,57.0,-0.30823909345886913,Urban,New Castle,26.0
Female,High School,No,5.8091007851868595,Married,4724.458697384148,52.0,-0.3928721233703053,Rural,London,32.0
Female,High School,No,5.1942664303538875,Single,4616.762194682536,57.0,-0.10095249557787475,Suburban,New Castle,7.0
Female,High School,Yes,5.03298336895585,Divorced,3818.2306427359304,33.0,-0.28325139340412003,Urban,New Castle,37.0
Male,College,No,5.253697310927009,Divorced,4510.13055774443,46.0,0.49948014078870107,Suburban,London,44.0
Female,Graduate School,Yes,5.552532302077425,Divorced,5134.21477639504,20.0,0.4272136568657334,,Manchester,17.0
Male,High School,No,3.3872864943579213,Divorced,5860.041512317306,28.0,0.22018660740461188,Urban,Manchester,35.0
Male,High School,No,5.226337925233734,Married,5990.616940884358,53.0,-0.015061883417990751,Suburban,New Castle,21.0
Male,Graduate School,Yes,8.67278011246381,Married,5825.928677923801,34.0,0.7754409887305431,Suburban,London,36.0
Female,College,No,6.264898048725837,Divorced,3274.554885719388,93.0,0.09285008183971938,Rural,Manchester,15.0
Male,High School,No,5.623802396818108,Married,3559.7949222478615,20.0,0.8696292902679419,Rural,Manchester,49.0
Male,College,No,3.4627301412432745,Married,6733.697183891481,47.0,0.2988361722772394,Suburban,Manchester,35.0
Female,Graduate School,Yes,6.067669604603704,Divorced,4152.402944744201,31.0,0.18330065054914996,Urban,London,22.0
Male,College,Yes,5.788862448273154,Divorced,4315.411014741901,78.0,,Urban,New Castle,41.0
Male,College,Yes,4.088427742801716,Single,1746.3390251877995,51.0,-1.1860457949135015,Suburban,London,35.0
Male,Graduate School,Yes,6.150169900426945,Single,5761.887773310543,51.0,0.08631910401320775,Urban,Manchester,30.0
Female,College,Yes,6.428276444936456,Single,5669.429435577449,40.0,0.5019803984275317,Urban,Manchester,37.0
Male,College,No,4.134896583115033,Married,5613.218597769261,69.0,0.1953685751138295,Rural,London,28.0
Male,Graduate School,No,4.307507700510692,Single,6389.0127911059935,57.0,0.06439494984253141,Rural,New Castle,40.0
Female,College,Yes,6.961053215304585,Single,5755.435415621736,43.0,0.3115638039658517,Rural,London,40.0
Male,College,No,3.275940273116553,Married,5036.191258602616,85.0,0.002224573168793209,Rural,Manchester,27.0
Male,,Yes,7.7109028421801735,Divorced,6380.884428513451,58.0,0.3874699356967253,Rural,Manchester,26.0
Male,College,No,4.596211617327469,Divorced,6095.349465673555,,-0.5049284284092521,Rural,London,15.0
Male,High School,Yes,5.774442282847841,Single,5630.958840728537,40.0,,Urban,London,62.0
Male,Graduate School,No,3.2959773356514135,Single,5199.211766217538,22.0,1.1878600130185424,Rural,Manchester,40.0
Female,Graduate School,No,5.155433958668733,Married,4254.021231240885,43.0,0.3356913825105876,Rural,London,23.0
Female,College,No,4.515782720796521,Married,6199.77169066225,35.0,-0.3044271195615434,Rural,Manchester,38.0
Male,Graduate School,No,4.325282802599933,Single,6349.863891044232,79.0,-0.5025185200497346,Urban,Manchester,34.0
Female,High School,No,,Married,5402.930893266968,62.0,-0.4361933147238194,Rural,Manchester,35.0
Male,Graduate School,Yes,6.116762532720935,Married,5045.4981026641635,49.0,-0.18917632101435514,Urban,London,40.0
Male,Graduate School,Yes,5.464674744396775,Single,4697.9762756975415,58.0,-0.3589646496952077,Urban,Manchester,30.0
Male,High School,Yes,7.649463413590674,Single,4277.7056459675905,32.0,0.1739719592802792,Urban,Manchester,30.0
Female,High School,Yes,5.913273818891663,Divorced,2795.8415419729117,31.0,-0.3999377987432025,Urban,New Castle,36.0
Male,College,No,4.805020274413076,Married,4804.612178479687,29.0,0.9606985204057172,Rural,New Castle,53.0
Male,College,,6.482557928076421,Married,6171.1750863885745,50.0,0.360850164343093,Urban,London,46.0
Female,Graduate School,Yes,5.9084997186751735,Single,5980.653468999237,30.0,0.6227008164673921,Suburban,London,30.0
Male,High School,Yes,6.974449890827093,Divorced,4958.411780095195,24.0,0.44710187812704816,Urban,Manchester,39.0
Male,College,No,5.646082875400808,Divorced,4968.5774803551685,78.0,-0.7799482135812399,Suburban,New Castle,42.0
Male,Graduate School,,4.925012130117583,Married,5443.899250886103,62.0,0.3835738935938098,Rural,New Castle,45.0
Male,High School,Yes,5.753995515241965,Single,3378.8593688821843,28.0,-0.2340108728640966,Urban,,36.0
Female,High School,Yes,5.714943811855602,Divorced,4318.580226337239,47.0,-0.16275175858754812,Suburban,New Castle,40.0
Female,College,Yes,4.374399858912755,Single,2872.9703523088015,50.0,-0.8262121947170243,Urban,London,32.0
Male,College,Yes,7.461550972526771,Divorced,5568.241410265111,42.0,0.2884482033554716,Urban,London,37.0
Female,Graduate School,Yes,5.189568001634822,Single,6077.033816751221,33.0,0.49133965793422885,Urban,New Castle,46.0
Male,High School,No,3.5708854713588165,Married,5788.069478270618,33.0,0.8508423195580492,Rural,New Castle,26.0
Male,High School,Yes,7.038629696668416,Single,6279.36506624681,41.0,0.5896175871834187,Rural,,22.0
Male,,No,4.62012895721758,Married,5633.725458153236,59.0,0.3448940503273801,Rural,Manchester,39.0
Female,Graduate School,No,5.27648963532732,Divorced,5929.294477415563,84.0,-0.8588817421969597,Suburban,London,36.0
Male,College,Yes,3.7514796795589636,Single,3820.3422518949774,50.0,-0.6518136386044484,Suburban,New Castle,27.0
Female,College,Yes,8.376903829161222,Divorced,5321.026700920103,42.0,0.23725247538184635,Urban,New Castle,24.0
Female,College,Yes,7.794730429860366,Married,6402.00408138474,59.0,0.28274786994011697,Urban,London,39.0
Male,Graduate School,No,5.41396926046898,Married,3681.4070622970207,67.0,,Rural,New Castle,37.0
Male,Graduate School,Yes,6.1316886047191455,Single,3894.43246131117,16.0,0.5156890244862162,Urban,London,42.0
Male,High School,No,3.8500145435917084,Married,4567.874497940229,56.0,0.27305252851754097,Rural,New Castle,27.0
Female,Graduate School,Yes,6.032765350326679,Divorced,6432.447921989255,61.0,0.2999489183922765,Urban,,41.0
Female,College,Yes,5.632404379364629,Divorced,5048.023303956744,63.0,-0.4118191439801371,Urban,Manchester,37.0
Female,College,No,3.344924421534608,Single,5668.079610205028,74.0,-0.12041735532887099,Rural,Manchester,48.0
Female,Graduate School,Yes,6.238584282175889,Single,5168.294359880227,50.0,0.11376575031082103,Urban,Manchester,19.0
Female,,No,4.8492162233786855,Single,2396.706192344917,43.0,1.0697607579317867,Suburban,Manchester,23.0
Female,High School,Yes,6.04312845133477,Divorced,3703.6414954761494,33.0,,Urban,Manchester,26.0
Male,Graduate School,Yes,7.294511865472796,Divorced,5466.804127253096,61.0,-0.1722984249304279,Suburban,New Castle,34.0
Male,High School,Yes,6.06082746282564,Divorced,5243.411046047006,50.0,-0.020056601674990127,Urban,London,40.0
Male,Graduate School,No,5.488794472237149,Married,6241.115583121944,73.0,-0.01605983698008248,Suburban,Manchester,19.0
Male,College,No,3.0531796044789825,Married,5841.196688522155,53.0,0.17973678712963198,Rural,Manchester,20.0
Female,Graduate School,No,3.545473620475925,Single,6844.049437821616,67.0,-0.15668983989659643,Suburban,London,15.0
Female,College,Yes,8.130318302479216,Divorced,4097.663637752884,32.0,0.32306070919778107,Suburban,New Castle,39.0
Female,High School,No,3.0115242448253614,Married,4770.689777010629,41.0,0.23919960011661684,Rural,New Castle,24.0
Female,College,Yes,6.1004662029365715,Married,5720.900546655799,11.0,0.9435355402242647,Suburban,New Castle,43.0
Female,College,Yes,5.470921219085497,Married,2895.994837877609,15.0,0.14984593754810277,Urban,New Castle,36.0
Male,College,Yes,6.634378566556803,Divorced,5340.789673187683,38.0,0.1873757414214946,Urban,New Castle,45.0
Male,High School,Yes,5.512398508596775,Divorced,4163.271502725772,39.0,0.04002210307213175,Suburban,London,30.0
Female,Graduate School,Yes,5.901908182061146,Divorced,4124.271239969356,34.0,0.11827687856121488,Urban,London,28.0
Female,High School,No,5.622719267285236,Married,4108.167257271836,40.0,-0.027996454302867874,Rural,Manchester,22.0
Female,College,No,4.608407495510493,,5024.944540508071,63.0,-0.0735591408790461,Suburban,Manchester,39.0
,Graduate School,Yes,6.991450248434875,Divorced,4499.801123642591,40.0,-0.05471136167913812,Urban,New Castle,41.0
Male,Graduate School,Yes,5.491023057040657,Divorced,4512.685066531945,49.0,-0.18125617755240128,Urban,Manchester,16.0
Male,Graduate School,No,6.2187717766516455,Married,3902.453848058134,62.0,-0.4072630128926895,Rural,Manchester,33.0
Male,Graduate School,No,4.685969260673348,Married,4565.361569604551,29.0,0.33997976383394524,Rural,Manchester,46.0
Female,Graduate School,Yes,3.204325175470161,Single,4222.660794251507,25.0,-0.17419183106407343,Urban,London,24.0
Female,Graduate School,No,3.3184311527340244,Married,4230.489018886638,55.0,0.21493646008459782,Suburban,New Castle,17.0
Male,High School,Yes,6.15136024439157,Divorced,5691.855275318538,52.0,0.18113872888977783,Suburban,Manchester,38.0
Female,High School,Yes,3.4672822045592513,Single,5525.036662484637,47.0,0.13265874658205945,Urban,Manchester,34.0
Female,Graduate School,Yes,7.237736420802909,Divorced,4882.0653647632835,32.0,0.2671104324294877,Urban,New Castle,29.0
Female,Graduate School,Yes,7.986529505523976,Single,6610.825588715052,40.0,0.6497673160095698,Urban,London,17.0
Female,College,Yes,7.177466228734712,Divorced,6406.194109823549,33.0,0.8773598409979475,Urban,Manchester,40.0
Male,Graduate School,,5.86479474623774,Divorced,3550.0636725380677,66.0,-0.36375741818958807,Rural,London,27.0
Female,College,Yes,5.82503163796208,Single,5113.284421719206,50.0,-0.15155784968538139,Urban,New Castle,21.0
Female,High School,No,3.5145753999705445,Married,5234.467211543477,63.0,-0.11113058818891297,Suburban,New Castle,39.0
Male,College,No,6.027707519114764,Divorced,3587.4004969625544,,0.46740531329589596,Rural,Manchester,20.0
Female,Graduate School,No,2.3478774431492346,Divorced,6816.007645596941,40.0,,Rural,New Castle,28.0
Female,High School,Yes,6.63548128757002,Single,5643.4777493633355,65.0,-0.4200874396557752,Urban,London,38.0
Female,High School,No,4.857049547335594,Married,6560.157422802569,71.0,-0.46024912557153913,Rural,London,33.0
Female,High School,Yes,5.759711535663624,Divorced,5115.243326056575,46.0,-0.04552709342121167,Suburban,Manchester,32.0
Female,College,Yes,6.081392098178255,Divorced,4881.186018359496,54.0,-0.5236465674122703,Suburban,London,24.0
Male,College,Yes,5.246141180577178,Divorced,5792.966818674799,49.0,0.2716534525150697,Urban,Manchester,36.0
Female,High School,Yes,6.72831621253639,Divorced,3651.478498172284,28.0,0.13829884734376513,Urban,London,23.0
Male,High School,Yes,6.380508183737367,Divorced,5070.3762288361195,39.0,0.3556979153415335,Suburban,London,26.0
Male,Graduate School,Yes,6.213734514314716,Divorced,3317.5382920906677,28.0,-0.09328770333300995,Rural,Manchester,40.0
Male,High School,No,3.539179539853969,Single,4396.234042588325,50.0,0.595955470267508,Suburban,London,40.0
Female,College,No,3.3845825081621466,Married,6352.163651421832,78.0,-0.10031021623667802,Rural,London,30.0
Female,College,Yes,7.202658949575382,Divorced,4364.400991205561,40.0,0.08958142885214504,Urban,New Castle,32.0
Male,College,No,4.069239290988735,Divorced,6518.606120388238,50.0,0.829556490174729,Rural,Manchester,33.0
Female,High School,No,4.895037939785885,Married,4444.992912400272,73.0,0.41763906913489746,Rural,New Castle,20.0
Female,,Yes,7.124927408279274,Divorced,5889.613428485115,33.0,0.6860894838461524,Urban,New Castle,21.0
Male,High School,No,5.502357472393496,,4391.513363305213,62.0,-0.5557274028847491,Suburban,New Castle,26.0
Male,High School,Yes,6.906147723374007,Married,3802.0039153624675,30.0,-0.0896930128145377,Urban,Manchester,37.0
,Graduate School,No,3.581776441892166,Married,6456.724744728779,85.0,-0.37324890098647395,,London,23.0
Male,High School,No,4.381364811114802,Divorced,5483.632826658121,93.0,-0.4259206769711227,Urban,Manchester,35.0
Female,College,Yes,7.578653728106287,Single,7280.983032934972,65.0,0.26030198438337215,Suburban,Manchester,37.0
Male,High School,Yes,2.927649234303488,Married,4222.420140556275,38.0,-0.3667891259608817,Urban,London,34.0
Male,College,Yes,7.431564962339037,Divorced,4463.19620855468,45.0,-0.14067294414637538,Urban,Manchester,17.0
Male,College,No,5.247578365145592,Married,5323.338997955036,43.0,0.9216720936023441,Suburban,Manchester,31.0
Female,Graduate School,No,6.1011049755041675,Married,3406.363044214621,70.0,-0.03283372062346249,Rural,Manchester,39.0
Female,Graduate School,Yes,6.529554058036183,Divorced,3946.5500251833464,31.0,0.013447123140610001,Suburban,New Castle,23.0
Male,Graduate School,,7.928465251424285,Divorced,4778.065295739489,38.0,0.10898899656741146,Suburban,Manchester,32.0
Male,College,Yes,5.790207161265348,Single,3911.205506473506,63.0,-0.7312240300919312,Suburban,Manchester,31.0
Female,Graduate School,No,5.5078886797852435,Single,5144.279623469252,80.0,-0.2166396201242239,Rural,Manchester,52.0
Male,High School,No,5.269941846539901,Married,3316.6772022846094,58.0,-0.5700440115207464,Rural,London,42.0
Male,High School,No,4.0354875885716215,Married,4492.825984082874,38.0,0.5166212270000202,Rural,New Castle,21.0
Female,College,Yes,6.932663708890782,Divorced,6003.418663105027,27.0,0.8423158073017865,Rural,New Castle,24.0
Female,College,No,4.051915126379063,Married,5710.281825031941,39.0,0.09186307504858388,Rural,Manchester,22.0
Female,Graduate School,No,4.395084056456258,Married,5976.337048250002,28.0,0.5075975893924369,Suburban,,49.0
Female,High School,Yes,3.1482296371626877,Married,4433.910391822558,61.0,-0.7684814401713569,Suburban,New Castle,32.0
Male,High School,Yes,6.191917510849617,Married,6144.486224114116,35.0,0.5939344922867528,Urban,New Castle,25.0
Female,Graduate School,No,4.337677869242013,Divorced,4024.4330809285407,65.0,0.9111957191932032,Rural,New Castle,37.0
Male,High School,No,4.1610990599726945,Married,5425.424245866672,33.0,0.8481881235457109,Urban,New Castle,22.0
Male,College,Yes,6.447930471508579,Single,6599.2956959110625,32.0,1.0388324486475617,Urban,London,26.0
Male,College,No,4.236654156649947,Married,4963.896815332282,38.0,0.11871392787079371,Suburban,Manchester,30.0
Male,Graduate School,Yes,6.809984615727297,Single,4786.187217218663,41.0,0.22060687859316114,Urban,Manchester,42.0
Male,Graduate School,Yes,6.527584930311214,Married,6851.286085075249,37.0,0.8014153473253481,Suburban,Manchester,42.0
Male,High School,Yes,5.74761685622873,Divorced,6227.709822804563,,0.5858480326588602,Urban,Manchester,32.0
Male,High School,No,4.665468081888864,Married,5801.3254795381845,56.0,0.2040404380914952,Rural,Manchester,26.0
Female,College,Yes,4.2725800414708806,Divorced,4550.855077635838,37.0,0.005998225660007989,Suburban,Manchester,35.0
Female,High School,No,4.664336164528146,Divorced,5697.998810284643,47.0,-0.06759972890515778,,Manchester,41.0
Female,High School,No,4.7329767493527495,Married,4010.9424084723128,63.0,-0.08857367616837108,Urban,Manchester,39.0
Female,High School,Yes,6.711016081209379,Married,4770.12362153154,37.0,0.20156008494919908,Urban,New Castle,40.0
Male,High School,Yes,5.5890251633223915,Divorced,6907.837109320494,47.0,0.48321468494919295,Urban,London,16.0
Male,College,Yes,8.538939945004325,Divorced,3777.2780154325374,38.0,-0.042380340576841924,Urban,Manchester,30.0
Female,High School,Yes,6.78188879779654,Married,4687.438877304314,63.0,-0.4863342115002403,Urban,London,30.0
Female,College,Yes,6.911060747887806,Single,5557.155916214328,61.0,-0.15700059788968612,Urban,London,40.0
Male,College,Yes,7.494092010249195,Divorced,4101.93532314281,39.0,-0.02687181798903887,Suburban,London,18.0
Male,Graduate School,Yes,6.442532502997699,Divorced,6711.665564913492,36.0,0.772823312175645,Urban,New Castle,31.0
Male,High School,No,5.532410374784349,Single,3351.1170581788706,52.0,0.07378189011189801,Rural,London,35.0
Female,Graduate School,No,4.463644602564331,Married,5037.486759574228,60.0,0.03622831956703895,Rural,London,32.0
Male,Graduate School,Yes,9.333599572053346,Married,5560.075547941748,56.0,,Urban,Manchester,39.0
Female,Graduate School,No,6.1779627072219085,,4980.696043160075,45.0,-0.14225150076896065,Suburban,London,42.0
Female,High School,No,4.356223284653668,Married,4598.119047495383,51.0,0.20289398440077344,Rural,New Castle,48.0
Male,College,No,5.331118832554872,Married,3597.8807814478496,57.0,0.19572543704032574,Rural,Manchester,35.0
Male,Graduate School,No,4.8394923651510515,Single,2805.0368996460516,46.0,0.601718062883115,,London,32.0
Female,College,No,4.0183758060341255,Married,4298.499573679978,87.0,-0.08940434406349927,Rural,Manchester,33.0
Female,High School,Yes,7.032196842186819,Divorced,6097.532358922177,,-0.02335850239303383,Urban,New Castle,32.0
Female,High School,Yes,7.3294461483432745,Divorced,4329.827801921387,50.0,-0.17683251060315291,Urban,New Castle,24.0
Male,High School,Yes,5.244805437504683,Single,1992.388126249387,24.0,-0.41872961760499194,Suburban,Manchester,35.0
Female,College,Yes,7.85723213096691,Divorced,7068.167047466721,89.0,,Urban,London,37.0
Male,Graduate School,No,3.5194277796680957,Married,7071.397775465737,45.0,0.5118309479987097,Rural,New Castle,
Female,High School,Yes,6.267798939399291,Divorced,5541.696243726685,23.0,0.6092423838761936,Urban,London,35.0
Female,Graduate School,Yes,5.023905018521657,,4737.6138489114155,58.0,-0.40195016984148957,Suburban,New Castle,38.0
Male,Graduate School,Yes,5.035690031054334,Divorced,4007.0042040873054,42.0,-0.45212405823747615,Suburban,London,34.0
Male,Graduate School,Yes,8.5091613509445,Single,4219.180100541236,0.0,0.9016343579401311,Suburban,Manchester,31.0
Male,Graduate School,Yes,6.006027013126708,Divorced,5261.803891161877,65.0,-0.332219352668081,Suburban,,32.0
Male,Graduate School,No,4.679378060502066,Married,3725.9907709457907,78.0,-0.42298784875571527,Rural,Manchester,40.0
Female,High School,Yes,2.891461070856178,Divorced,2118.0452767182496,26.0,-0.6990859169880613,Rural,Manchester,35.0
Male,College,No,4.771293101730947,Married,3798.1387059804892,65.0,-0.14063846475612785,Rural,New Castle,42.0
Male,College,Yes,6.350136603002109,Single,5319.8696500814285,49.0,-0.22856673315878384,Suburban,Manchester,36.0
Male,Graduate School,No,5.278181482025032,Divorced,3421.232434909386,74.0,-0.06828054704913752,Urban,London,29.0
Female,High School,No,4.09890133466197,Married,3395.6799649746235,50.0,0.7596349425649866,Rural,New Castle,28.0
Female,College,No,4.339476219104011,Married,4187.410274017261,24.0,0.5611615667782028,Rural,London,27.0
Male,College,Yes,5.890159278932969,Divorced,4843.474558582195,39.0,0.44149743284856535,Suburban,New Castle,35.0
Female,High School,Yes,5.7648430840417015,Married,3419.0277045172393,43.0,-0.6497931642036525,Urban,Manchester,32.0
Female,College,No,4.7662496568453205,Married,3673.580523128586,42.0,0.04232372600897033,Urban,New Castle,45.0
Male,Graduate School,Yes,5.6601495148380305,Single,6044.149436340611,59.0,-0.08696473912555297,Urban,London,25.0
Female,College,Yes,3.9750824652480414,Single,4874.479108773544,55.0,-0.453319922008502,,London,30.0
,College,No,6.0156407793368984,Married,4414.469735677057,93.0,-0.11665351943646786,Rural,Manchester,31.0
Male,High School,No,4.701434848905897,Married,4394.92620818019,72.0,-0.636335034493414,Rural,London,21.0
Male,College,Yes,4.989354459954425,Single,4081.5230379674013,28.0,0.1066584589586535,Urban,Manchester,24.0
Male,Graduate School,Yes,5.504610089074133,Single,4979.132163243274,50.0,0.035222150789570084,Urban,New Castle,27.0
Male,College,No,5.107128767880489,Single,4354.315743973797,72.0,-0.4028751551583667,Suburban,New Castle,44.0
Female,High School,Yes,4.732809791669215,Married,4016.7358327455304,63.0,-0.788567378623723,Urban,London,15.0
Female,Graduate School,Yes,4.4889416172210925,Divorced,6322.319260622607,54.0,0.2274810691238564,Urban,Manchester,27.0
,College,Yes,3.317461376342759,Single,,19.0,0.5359575334553783,Urban,London,27.0
Male,College,Yes,7.149790272852389,Married,6978.902989870639,21.0,1.220492711458485,Urban,New Castle,39.0
Male,College,Yes,8.161286222281339,Single,6729.123408360397,44.0,0.8066491205986417,Urban,London,26.0
Male,High School,Yes,5.360734448008102,Divorced,3821.956900775284,26.0,-0.11897489923700591,,New Castle,41.0
Male,College,Yes,9.054189854968975,Married,4755.193509922338,33.0,0.3851343551889722,Suburban,Manchester,44.0
Male,Graduate School,Yes,8.187101840008873,Divorced,4715.862710524416,25.0,0.677272167071542,Urban,New Castle,43.0
Female,College,Yes,,Married,5029.638237679816,29.0,0.4047553197992051,Urban,London,28.0
Male,College,No,3.7881651230538504,Married,5955.586205989737,66.0,-0.14245544517105663,Rural,London,47.0
Female,College,No,4.379593590398015,Divorced,6287.936415613505,,0.5538757465254326,Rural,New Castle,32.0
Female,Graduate School,No,4.062911887914989,Married,4467.6611361239975,34.0,0.0014209742413329451,Suburban,London,40.0
Male,High School,Yes,6.052535329088578,Single,6502.329564749871,48.0,0.3374756112633237,Urban,Manchester,43.0
Female,Graduate School,Yes,6.465498170258988,Divorced,7032.299967511634,95.0,-0.5702131104645423,Urban,Manchester,25.0
Female,High School,No,5.550512850428913,Married,4265.605382073976,39.0,0.2471794628290504,Rural,New Castle,44.0
Male,Graduate School,No,5.565316261032782,Single,5578.264008523992,116.0,-0.6183701991002822,Rural,London,43.0
Female,High School,No,4.464383294792894,Married,4071.520771296089,57.0,0.5063075780787399,Suburban,New Castle,24.0
Female,College,No,5.540262718154031,Divorced,5121.595943441128,48.0,0.2878475559180317,Rural,New Castle,26.0
Female,Graduate School,No,,Married,4227.821225092133,61.0,-0.43305241221948615,Rural,Manchester,32.0
Female,Graduate School,No,4.764627503409529,Married,4036.314875693587,48.0,0.5737342595454082,Suburban,Manchester,36.0
Female,Graduate School,Yes,8.775428622608246,Divorced,5205.2606313869965,15.0,0.8830528270229534,Urban,Manchester,33.0
Female,College,Yes,5.533113709965856,Single,4224.139493944853,27.0,0.183602483598294,Suburban,London,29.0
Male,High School,Yes,6.173576814972843,Divorced,6063.05837011949,39.0,0.49639624140036775,Urban,New Castle,31.0
,College,No,3.1092604812426137,Single,5990.658337253035,59.0,0.4547391092689994,,New Castle,34.0
Male,College,Yes,8.210569609597696,Divorced,4849.5524697553155,55.0,,Urban,London,38.0
Female,High School,Yes,7.063319106639205,Divorced,5873.102401877333,63.0,0.09065174462492531,Suburban,Manchester,23.0
Male,High School,Yes,8.14795244362611,Divorced,5259.198055369796,18.0,0.8250097785589889,Urban,New Castle,39.0
Female,Graduate School,No,4.927872655443863,Married,4759.203721744482,98.0,0.05687325202446908,Suburban,New Castle,31.0
Female,High School,Yes,3.96776297538747,Married,3794.900331908549,44.0,-0.2669136294510027,Urban,Manchester,18.0
Male,,No,3.1110867766201338,Married,4580.379454703955,53.0,0.566573876986836,Rural,London,37.0
Male,College,No,5.039942515200882,Divorced,4270.0375033390965,65.0,0.42224778264124907,Rural,New Castle,26.0
Male,High School,No,6.890401568352619,Married,4616.491575965941,83.0,-0.44427321708070433,Suburban,London,28.0
Male,High School,No,5.744879546691077,Married,4089.92774612551,85.0,-0.5982500191352611,Rural,New Castle,41.0
Male,Graduate School,No,5.28195066544639,Married,,49.0,0.0538842005077535,,New Castle,31.0
Male,College,Yes,7.067715886757677,Single,4563.981972979064,24.0,0.48664727793942797,Suburban,London,27.0
Female,High School,No,5.472318305790944,,6052.515880275724,111.0,-1.5,Suburban,London,34.0
Male,Graduate School,No,3.837984483300182,Single,2420.854458476928,55.0,0.6198196368041143,Suburban,New Castle,20.0
Male,High School,Yes,5.431358773485117,Divorced,6626.303217468792,65.0,-0.020813335469434396,Suburban,New Castle,36.0
Female,College,Yes,8.218300480096579,Divorced,4776.042512403131,57.0,-0.2525944081755872,Urban,Manchester,41.0
Female,High School,Yes,,Single,3726.076954512687,52.0,-0.4042139157398653,Urban,Manchester,36.0
Female,High School,Yes,9.173804507464997,Single,3980.4730372109575,40.0,-0.055573899437085905,Suburban,New Castle,28.0
Female,Graduate School,No,3.9386205274308836,Single,4272.476232005794,106.0,-0.29912804284484296,Rural,Manchester,26.0
Female,College,Yes,6.498553254713717,Divorced,5880.414327398084,44.0,0.5090300852907251,Urban,London,32.0
Male,College,No,3.913301906505117,Married,6339.16651195355,56.0,0.18081734762764828,Rural,Manchester,27.0
Male,Graduate School,Yes,6.872181203010562,Married,7172.673115200918,44.0,0.47468049541002433,Urban,London,26.0
